size,threads,sequential_time,parallel_time,speedup,speedup_ci_low,speedup_ci_high
360,1,1651828048.40,594180994.60,2.78,2.76,2.80
360,2,1651828048.40,396903879.20,4.16,4.13,4.19
360,4,1651828048.40,252421128.20,6.54,6.48,6.61
360,8,1651828048.40,195836279.90,8.43,7.99,8.93
360,10,1651828048.40,269112532.70,6.14,5.36,7.18
360,12,1651828048.40,278701806.40,5.93,5.36,6.63
360,14,1651828048.40,339992454.90,4.86,4.68,5.05
360,16,1651828048.40,392727668.40,4.21,3.87,4.60
