size,threads,sequential_time,parallel_time,speedup,speedup_ci_low,speedup_ci_high
480,1,2786909177.00,942690473.10,2.96,2.93,2.98
480,2,2786909177.00,674011822.70,4.13,3.73,4.64
480,4,2786909177.00,406765434.20,6.85,6.78,6.92
480,8,2786909177.00,361060271.40,7.72,7.25,8.25
480,10,2786909177.00,436970868.10,6.38,5.73,7.19
480,12,2786909177.00,606491637.40,4.60,4.12,5.19
480,14,2786909177.00,714369198.30,3.90,3.77,4.04
480,16,2786909177.00,773802480.30,3.60,3.53,3.67
