size,threads,sequential_time,parallel_time,speedup,speedup_ci_low,speedup_ci_high
600,1,4801330803.60,1868661325.00,2.57,2.22,3.04
600,2,4801330803.60,1291735455.20,3.72,3.22,4.39
600,4,4801330803.60,650543031.20,7.38,7.20,7.57
600,8,4801330803.60,828448068.40,5.80,4.75,7.43
600,10,4801330803.60,897162619.70,5.35,4.96,5.81
600,12,4801330803.60,830054584.40,5.78,5.29,6.38
600,14,4801330803.60,850089541.10,5.65,5.33,6.01
600,16,4801330803.60,899351399.60,5.34,4.80,6.01
