size,threads,sequential_time,parallel_time,speedup,speedup_ci_low,speedup_ci_high
240,1,992248912.40,511815962.10,1.94,1.61,2.44
240,2,992248912.40,237249176.80,4.18,3.70,4.81
240,4,992248912.40,137746455.70,7.20,7.15,7.26
240,8,992248912.40,128258133.40,7.74,6.64,9.26
240,10,992248912.40,118735653.90,8.36,7.42,9.57
240,12,992248912.40,161247323.20,6.15,5.77,6.59
240,14,992248912.40,166354415.10,5.96,5.65,6.32
240,16,992248912.40,211435869.40,4.69,4.27,5.21
